date,selenium
YYYY-MM-DD,ppb
2020-05-22,2.60789
2020-05-29,2.43777
2020-06-05,0.0
2020-06-12,0.0
2020-06-19,0.0
2020-06-26,0.0
2020-07-02,0.0
2020-07-10,0.0
2020-07-17,0.0
2020-07-23,0.0
2020-07-30,0.0
2020-08-07,0.0
2020-08-14,0.0
2020-08-20,0.0
2020-08-27,0.0
2020-09-03,0.0
2020-09-11,0.0
2020-09-18,0.0
2020-09-24,0.0
2020-10-01,0.0
2020-10-08,0.0
2020-10-16,0.0
2020-10-23,0.0
2020-10-27,0.0
2020-11-06,0.0
2020-11-20,0.0
2021-05-19,0.70982
2021-05-28,0.89609
2021-06-04,0.24415
2021-06-11,0.07552
2021-06-24,0.47801000000000005
2021-07-09,0.17614000000000002
2021-07-15,0.0
2021-07-23,0.0
2021-07-30,0.0
2021-08-06,0.0
2021-08-13,0.0004787
2021-08-27,0.0009738
2021-09-03,0.0097245
2021-10-01,0.0
2021-10-07,0.0
2021-10-22,0.0154474
2021-11-03,0.0634004
2021-11-11,0.0168531
