date,vanadium
YYYY-MM-DD,ppb
2019-04-27,0.0677
2019-05-10,0.22299
2019-05-19,0.06526
2019-05-24,0.07254
2019-06-03,0.19533999999999999
2019-06-18,0.34555
2019-07-01,0.08121
2019-07-09,0.10106000000000001
2019-07-16,0.06181
2019-08-15,0.07629999999999999
2019-09-05,0.05673
2019-10-02,0.05214
2020-04-21,0.13792000000000001
2020-05-13,0.06176
2020-05-28,0.0
2020-06-10,0.06193
2020-06-24,0.05124
2020-07-08,0.05002
2020-08-03,0.0
2020-08-26,0.0
2020-09-29,0.0
2020-11-03,0.0
2021-05-10,0.17263
2021-05-24,0.07717
2021-06-17,0.038009799999999996
2021-06-30,0.050166300000000004
2021-07-22,0.0535492
2021-08-20,0.0382171
2021-09-30,0.030732899999999997
