date,vanadium
YYYY-MM-DD,ppb
2014-12-12,0.06577000000000001
2015-05-11,0.14009
2015-05-24,0.0825
2015-06-02,0.18922
2015-06-18,0.11431999999999999
2015-07-02,0.07909
2015-07-15,0.05065
2015-08-02,0.07250000000000001
2015-08-09,0.06837
2015-10-04,0.11872
2015-10-13,0.06647
2015-10-26,0.058929999999999996
2015-11-09,0.3292
2016-05-12,0.05117500879999999
2016-05-20,0.10056823
2016-05-27,0.0714881299
2016-06-04,0.08524707840000001
2016-06-11,0.0918580406
2016-06-17,0.08388
2016-06-27,0.06787
2016-07-08,0.06549
2016-07-15,0.06437
2016-07-22,0.07735
2016-07-29,0.06588
2016-08-05,0.07737
2016-08-12,0.07122
2016-08-19,0.06275
2016-08-26,0.06794
2016-09-02,0.061529999999999994
2016-09-09,0.0653
2016-09-16,0.06176
2016-09-23,0.03255
2016-09-30,0.08251
2016-10-12,0.08217
2016-10-19,0.0569
2016-10-27,0.05055
2016-11-03,0.047080000000000004
2016-11-12,0.045950000000000005
2017-05-30,0.06001
2017-06-15,0.06080000000000001
2017-06-30,0.05957
2017-07-13,0.05212
2017-07-30,0.05348
2017-08-25,0.06763
2017-09-14,0.07121
2017-09-27,0.07812000000000001
2017-10-14,0.0511
2017-10-23,0.04523
2017-11-03,0.03989
2018-05-25,0.11174999999999999
2018-06-08,0.0651
2018-06-15,0.05281
2018-06-25,0.05568
2018-07-09,0.06418
2018-07-15,0.06857
