date,molybdenum
YYYY-MM-DD,ppb
2019-10-07,0.20933000000000002
2020-05-26,0.0
2020-10-09,0.0
2020-10-13,0.21749000000000002
2020-10-21,0.29855
2020-10-28,0.27035
2020-11-04,0.3358
2020-11-11,0.32472
2020-11-17,0.0
2020-11-25,0.0
2020-12-03,0.0
2020-12-09,0.0
2020-12-16,0.0
2020-12-26,0.0
2020-12-31,0.0
2021-01-07,0.0
2021-01-14,0.0
2021-01-21,0.0
2021-01-28,0.0
2021-02-07,0.0
2021-02-11,0.0
2021-02-19,0.0
2021-02-27,0.0
2021-03-05,0.15987
2021-03-12,0.0
2021-03-19,0.0
2021-03-26,0.41820999999999997
2021-04-03,0.40665
2021-04-09,0.48352
2021-04-16,0.28077
2021-04-23,0.47273000000000004
2021-04-30,0.22743
2021-05-19,0.16587000000000002
2021-05-25,0.047439999999999996
2021-05-26,0.06789
2021-06-02,0.05058
2021-06-09,0.07826140000000001
2021-06-16,0.1458076
2021-06-23,0.1466417
2021-06-30,0.5032241
2021-07-07,0.14693319999999999
2021-07-14,0.146377
2021-07-21,0.1989483
2021-07-28,0.0
2021-08-04,0.18075750000000002
2021-08-11,0.2196886
2021-08-18,0.24687359999999997
2021-09-01,0.2835528
2021-09-08,0.2594701
2021-09-15,0.2680529
2021-09-22,0.2598226
2021-09-29,0.2226607
2021-10-05,0.16733
2021-10-06,0.3255006
2021-10-13,0.2467972
2021-10-20,0.2561487
2021-10-27,0.2542141
2021-11-03,0.3218463
2021-11-10,0.2769336
2021-11-17,0.2675932
2021-11-24,0.2944231
2021-12-01,0.28617940000000003
2021-12-08,0.3038286
2021-12-16,0.2643119
2021-12-23,0.35661119999999996
