run_id,calcite_rate,fh_rmax,fh_k_donor,fh_SA,gt_rmax,gt_k_donor,gt_SA,root_resp,msr_rmax,msr_k_donor,msr_k_acceptor,denit_rmax,denit_k_donor,denit_k_acceptor,aero_rate,aero_k_o2
0,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,4.641588833612782e-07,28300000.000000026,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,0.00021544346900318823,1e-05,0.0001,4.641588833612782e-06,4.6415888336127727e-10,0.00021544346900318823
1,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,0.00021544346900318823,1e-05,0.0001,4.641588833612782e-06,4.6415888336127727e-10,0.00021544346900318823
2,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,0.00021544346900318823,1e-05,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
3,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,1e-05,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
4,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,1e-05,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
5,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
6,7.194462692099818e-07,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
7,1.550000000000001e-05,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
8,1.550000000000001e-05,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,1.7106211438853152e-12,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,0.00021544346900318823
9,1.550000000000001e-05,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,2.4999999999999992e-08,1e-05,1313569.6399124186,1.7106211438853152e-12,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,1e-05
10,1.550000000000001e-05,2.4999999999999994e-06,4.641588833612782e-06,5012915.940301801,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,1e-05
11,1.550000000000001e-05,2.4999999999999994e-06,4.641588833612782e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,1e-05
12,1.550000000000001e-05,2.4999999999999994e-06,1e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,2.4999999999999992e-08,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,1e-05
13,1.550000000000001e-05,2.4999999999999994e-06,1e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,5.386086725079705e-07,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,4.6415888336127727e-10,1e-05
14,1.550000000000001e-05,2.4999999999999994e-06,1e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,5.386086725079705e-07,2.3207944168063906e-06,1e-05,4.641588833612782e-07,0.0001,0.0001,1e-08,1e-05
15,1.550000000000001e-05,2.4999999999999994e-06,1e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,5.386086725079705e-07,2.3207944168063906e-06,1e-05,4.641588833612782e-07,4.641588833612782e-06,0.0001,1e-08,1e-05
16,1.550000000000001e-05,5.386086725079705e-07,1e-06,108000000.00000015,5.386086725079705e-07,1e-05,1313569.6399124186,1.7106211438853152e-12,5.386086725079705e-07,2.3207944168063906e-06,1e-05,4.641588833612782e-07,4.641588833612782e-06,0.0001,1e-08,1e-05
17,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,6097050.172790233,3.6854215338885354e-13,2.4999999999999992e-08,5e-07,0.001,1e-05,1e-06,4.641588833612782e-06,1e-10,0.001
18,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,6097050.172790233,3.6854215338885354e-13,2.4999999999999992e-08,5e-07,0.001,1e-05,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
19,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,5e-07,0.001,1e-05,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
20,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,5e-07,0.001,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
21,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,5e-07,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
22,3.33937376954942e-06,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
23,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,1079999.9999999993,2.4999999999999994e-06,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
24,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,1079999.9999999993,1.1603972084031953e-07,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.001
25,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,1079999.9999999993,1.1603972084031953e-07,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,4.641588833612782e-05
26,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,4.641588833612782e-05
27,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,3.6854215338885354e-13,2.4999999999999992e-08,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
28,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,3.6854215338885354e-13,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
29,1.5500000000000013e-07,2.4999999999999994e-06,1e-05,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,7.939999999999988e-12,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
30,1.5500000000000013e-07,5.386086725079705e-07,1e-05,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,7.939999999999988e-12,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
31,1.5500000000000013e-07,5.386086725079705e-07,2.1544346900318822e-06,23267894.65234436,1.1603972084031953e-07,1e-05,283000.0000000003,7.939999999999988e-12,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
32,1.5500000000000013e-07,5.386086725079705e-07,2.1544346900318822e-06,23267894.65234436,1.1603972084031953e-07,4.641588833612782e-07,283000.0000000003,7.939999999999988e-12,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,1e-10,4.641588833612782e-05
33,1.5500000000000013e-07,5.386086725079705e-07,2.1544346900318822e-06,23267894.65234436,1.1603972084031953e-07,4.641588833612782e-07,283000.0000000003,7.939999999999988e-12,5.386086725079705e-07,1.077217345015941e-05,4.641588833612782e-05,4.641588833612782e-07,2.1544346900318823e-05,0.0001,2.1544346900318866e-09,4.641588833612782e-05
34,3.33937376954942e-06,5.386086725079705e-07,1e-06,23267894.65234436,2.4999999999999992e-08,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,2.1544346900318866e-09,0.00021544346900318823
35,3.33937376954942e-06,5.386086725079705e-07,1e-06,23267894.65234436,5.386086725079705e-07,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,2.1544346900318866e-09,0.00021544346900318823
36,3.33937376954942e-06,5.386086725079705e-07,1e-06,23267894.65234436,5.386086725079705e-07,4.641588833612782e-07,1313569.6399124186,7.939999999999987e-14,2.4999999999999992e-08,4.9999999999999996e-05,1e-05,4.641588833612782e-07,2.1544346900318823e-05,4.641588833612782e-06,1e-10,0.00021544346900318823
